Year,Price,Price (Inflation Adjusted)
2018,2000.00,2000.00
2017,1450.00,1484.80
2016,4120.00,4315.91
2015,3740.00,4007.95
2014,3540.00,3797.42
2013,2600.00,2833.69
2012,1990.00,2201.40
2011,1450.00,1637.72
2010,900.00,1049.04
2009,753.00,891.74
2008,732.00,863.41
2007,530.00,648.90
2006,670.00,843.27
2005,775.00,1006.64
2004,400.00,537.22
2003,170.00,234.48
2002,155.00,218.71
2001,155.00,222.21
2000,155.00,228.43
1999,140.00,213.34
1998,139.84,217.79
1997,159.52,252.41
1996,261.61,423.47
1995,247.39,412.47
1994,194.45,333.28
1993,187.00,328.84
1992,201.39,364.77
1991,122.42,228.39
1990,249.22,484.47
1989,287.72,589.52
1988,335.52,720.46
1987,295.50,660.54
1986,232.79,539.09
1985,310.96,733.80
1984,314.38,768.58
1983,322.44,822.18
1982,370.93,976.09
1981,413.86,1156.58
1980,389.45,1200.47
1979,281.10,983.46
1978,153.32,597.02
1977,135.71,568.61
1976,121.30,541.27
1975,158.12,746.49
1974,281.69,1450.88
1973,286.23,1636.44
1972,218.28,1325.33
1971,292.41,1832.23
1970,407.77,2667.50
1969,505.04,3492.13
1968,535.56,3906.83
1967,489.36,3719.74
1966,441.72,3461.70
1965,570.75,4602.61
1964,314.79,2579.13
1963,189.45,1572.37
1962,191.21,1607.61
1961,197.61,1678.04
1960,210.76,1807.60
1959,227.48,1984.17
1958,229.06,2011.93
1957,246.98,2230.07
1956,259.92,2424.36
1955,290.35,2748.81
1954,264.39,2493.03
1953,193.03,1832.89
1952,199.10,1905.65
1951,210.13,2049.44
1950,81.26,855.16
1949,79.46,847.08
1948,76.49,805.64
1947,83.74,953.44
1946,98.24,1279.60
1945,134.89,1902.81
1944,118.36,1708.03
1943,195.21,2864.93
1942,196.35,3057.44
1941,185.02,3195.05
1940,176.86,3206.84
1939,103.94,1897.84
1938,75.47,1358.72
1937,90.18,1589.45
1936,79.92,1459.33
1935,71.99,1334.24
1934,73.87,1399.21
1933,59.23,1156.68
1932,57.93,1073.60
1931,87.35,1458.57
1930,115.01,1747.59
1929,122.15,1813.40
1928,123.51,1833.59
1927,118.16,1724.34
1926,91.90,1318.32
1925,83.13,1205.63
1924,69.76,1035.00
1923,66.50,986.63
1922,58.95,890.36
1921,45.46,644.73
1920,81.12,1029.67
1919,92.15,1352.14
1918,123.47,2076.22
1917,106.30,2109.25
1916,125.49,2923.29
1915,87.01,2187.02
1914,48.31,1226.43
1913,39.54,1013.83
1912,42.46,1110.90
1911,46.54,1255.28
1910,47.06,1296.09
1909,46.30,1275.15
1908,44.84,1303.61
1907,41.50,1206.50
1906,40.90,1230.08
1905,38.50,1213.71
1904,41.00,1324.45
1903,41.32,1351.47
1902,48.03,1570.94
1901,47.00,1576.61
1900,51.00,1755.78
1899,43.63,1522.03
